Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-09-20 10:13:51,false,"Sydney Running","4.87","264","00:34:05","135","159","3.0","146","221","7:00","4:15","52","67","0.98","9.2","9.0","269","--","6:39","211","0.0","188","313","5,072","--","No","00:06:08.0","5","--","--","--","--","00:33:42","00:38:05","2","55"
Running,2024-09-16 09:42:39,false,"Sydney Running","6.38","351","00:49:14","134","156","3.0","143","236","7:43","5:18","79","77","0.90","9.1","8.2","273","--","7:25","193","0.0","167","335","7,180","--","No","00:03:04.3","7","--","--","--","--","00:48:50","01:00:59","1","26"
Running,2024-09-12 12:04:59,false,"Seattle Running","5.52","286","00:37:31","134","160","3.1","155","172","6:48","4:47","64","56","0.95","9.3","8.7","267","--","6:40","208","0.0","192","284","5,874","--","No","00:06:00.7","6","--","--","--","--","00:37:22","00:37:57","4","29"
Trail Running,2024-09-05 09:53:27,false,"Skagit County Trail Running","5.89","459","01:21:23","131","165","2.6","82","236","13:49","5:09","353","343","0.80","8.9","6.8","287","--","11:16","125","0.0","88","343","7,708","--","No","00:05:53.6","6","--","--","--","--","01:01:08","01:21:23","1,325","1,670"
Trail Running,2024-09-04 08:55:09,false,"Seattle Trail Running","8.70","482","01:03:28","140","168","3.2","157","228","7:18","5:48","203","207","0.89","9.2","8.2","287","50.5% L / 49.5% R","6:53","200","0.0","184","431","9,816","--","No","00:04:29.6","9","--","33","16","42","01:03:18","01:03:28","3","105"
Trail Running,2024-08-31 04:14:32,false,"King County Trail Running","42.47","3,410","15:15:06","114","227","2.9","71","240","21:34","4:04","2,528","2,510","0.65","11.6","7.5","543","50.4% L / 49.6% R","18:19","104","0.0","65","604","61,066","--","No","00:03:14.5","43","--","23","11","40","11:05:10","15:20:03","494","1,798"
Trail Running,2024-08-28 13:46:02,false,"Seattle Trail Running","5.46","325","00:40:24","147","176","3.1","162","203","7:24","5:37","208","195","0.85","9.7","8.3","292","50.4% L / 49.6% R","6:39","211","0.0","195","341","6,440","--","No","00:03:21.7","6","--","35","17","44","00:40:00","00:41:16","14","87"
Trail Running,2024-08-25 07:11:34,false,"Clallam County Trail Running","30.08","1,918","05:34:31","139","172","4.1","123","213","11:07","5:38","1,390","1,386","0.75","9.9","7.4","369","50.0% L / 50.0% R","9:32","148","0.0","126","374","39,376","--","No","00:00:32.9","31","--","30","13","43","05:09:24","05:39:07","603","1,642"
Trail Running,2024-08-23 08:00:27,false,"Seattle Trail Running","9.57","554","01:16:13","141","166","3.0","154","250","7:58","5:45","256","257","0.82","10.2","8.2","283","--","7:16","185","0.0","173","297","11,954","--","No","00:04:44.2","10","--","--","--","--","01:16:01","01:19:26","1","106"
Running,2024-08-22 11:31:21,false,"Seattle Running","8.67","441","01:02:15","130","165","3.0","144","227","7:11","3:57","92","82","0.98","9.1","8.7","267","--","6:50","200","0.0","177","333","9,120","--","No","00:05:36.8","9","--","--","--","--","01:01:11","01:31:34","5","41"
